Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Number of triangles,Eigenvector Centrality
TIM,TIM,3,6.0,24.0,0.15047840977297602,2.8089522832948463E-4,0.3333333333333333,1,0.04421393235531699
SGBJ,SGBJ,2,2.0,25.0,0.13837662337662338,0.0,1.0,1,0.010163409142106746
BRUD,BRUD,2,2.0,25.0,0.14463637289170936,0.0,1.0,1,0.01451218269454953
KSX,KSX,5,10.0,22.0,0.15038814396612563,8.349026302697304E-6,0.6,6,0.04597913763139905
BC,BC,3,4.0,25.0,0.14695031548460505,9.358281486598763E-4,0.0,0,0.027118796074218954
IZN,IZN,2,5.0,26.0,0.12896393125151295,6.657688587576746E-5,0.0,0,0.005160414627368265
BPR,BPR,3,6.0,25.0,0.12953226149591224,7.40227571963872E-4,0.0,0,0.006423186190959453
BHI,BHI,2,2.0,26.0,0.1147518914407259,2.1738151064026913E-4,0.0,0,0.003154494564234617
KHH,KHH,2,2.0,27.0,0.10845059670729536,1.5923476211902695E-5,0.0,0,0.0028243915728327013
PBW,PBW,2,2.0,27.0,0.116514940266273,2.6930965354379484E-4,0.0,0,0.003748457642717775
PEP,PEP,4,6.0,24.0,0.1436467812605325,2.913867819104037E-6,0.6666666666666666,4,0.022792600484069444
PPC,PPC,2,6.0,23.0,0.16722906693871145,0.0,1.0,1,0.03666972522376919
KMJ,KMJ,2,2.0,24.0,0.15333141459202762,0.0,1.0,1,0.016481628480778564
CHR,CHR,3,4.0,24.0,0.14363709894850363,0.0,1.0,3,0.020150787602762243
RTP,RTP,2,4.0,25.0,0.1420619312689577,0.0,1.0,1,0.013884569525128784
DHE,DHE,2,2.0,24.0,0.15568949771689497,1.5280315862469622E-4,0.0,0,0.019565830404643093
MFJ,MFJ,2,2.0,24.0,0.145450822469456,1.840206556633409E-6,0.0,0,0.014804493460857635
CBN,CBN,4,4.0,24.0,0.14186805139471406,1.2131086265360047E-4,0.5,3,0.0197157793441133
KMDR,KMDR,2,2.0,25.0,0.12787278727872786,0.0,1.0,1,0.006368774127028337
NDJ,NDJ,2,2.0,24.0,0.15592873083818096,0.0,1.0,1,0.025771656685226026
CHD,CHD,7,15.0,23.0,0.15481855497838642,4.5394204932496657E-4,0.2857142857142857,6,0.05542322358639141
MND,MND,2,2.0,24.0,0.14607396236761833,0.0,1.0,1,0.018293975295598536
KCT,KCT,2,2.0,24.0,0.15587170390959296,6.567861296321064E-5,0.0,0,0.02953813878424232
MJL,MJL,2,2.0,25.0,0.12738358539063901,0.0,1.0,1,0.00477440551162958
BRU,BRU,2,2.0,24.0,0.1433617006962898,0.0,1.0,1,0.007528170571334741
KZA,KZA,2,4.0,25.0,0.1254414881092536,0.0,1.0,1,0.005016062669922923
GH,GH,2,4.0,24.0,0.14333759332750387,0.0,1.0,1,0.00803408918084409
